0	1	3	11.7	100	1	0	0.021	0	0	0	0	0	0	0	0	0	0	0	0
1	2	3	11.7	100	1	0	0.021	0	0	0	0	0	0	0	0	0	0	0	0
2	3	3	11.7	100	1	0	0.021	0	0	0	0	0	0	0	0	0	0	0	0
3	4	3	11.7	100	1	0	0.021	0	0	0	0	0	0	0	0	0	0	0	0
4	5	3	11.7	100	1	0	0.021	0	0	0	0	0	0	0	0	0	0	0	0
5	6	3	11.7	100	1	0	0.021	0	0	0	0	0	0	0	0	0	0	0	0
6	7	3	11.7	100	1	0	0.021	0	0	0	0	0	0	0	0	0	0	0	0
7	8	3	11.7	100	1	0	0.021	0	0	0	0	0	0	0	0	0	0	0	0
8	9	3	11.7	100	1	0	0.021	0	0	0	0	0	0	0	0	0	0	0	0
9	30	3	11.7	100	1	0	0.021	0	0	0	0	0	0	0	0	0	0	0	0
10	11	3	11.7	100	1	0	0.021	0	0	0	0	0	0	0	0	0	0	0	0
11	12	3	11.7	100	1	0	0.021	0	0	0	0	0	0	0	0	0	0	0	0
12	13	3	11.7	100	1	0	0.021	0	0	0	0	0	0	0	0	0	0	0	0
13	14	3	11.7	100	1	0	0.021	0	0	0	0	0	0	0	0	0	0	0	0
14	15	3	11.7	100	1	0	0.021	0	0	0	0	0	0	0	0	0	0	0	0
15	16	3	11.7	100	1	0	0.021	0	0	0	0	0	0	0	0	0	0	0	0
16	17	3	11.7	100	1	0	0.021	0	0	0	0	0	0	0	0	0	0	0	0
17	18	3	11.7	100	1	0	0.021	0	0	0	0	0	0	0	0	0	0	0	0
18	19	3	11.7	100	1	0	0.021	0	0	0	0	0	0	0	0	0	0	0	0
19	30	3	11.7	100	1	0	0.021	0	0	0	0	0	0	0	0	0	0	0	0
20	21	3	11.7	100	1	0	0.021	0	0	0	0	0	0	0	0	0	0	0	0
21	22	3	11.7	100	1	0	0.021	0	0	0	0	0	0	0	0	0	0	0	0
22	23	3	11.7	100	1	0	0.021	0	0	0	0	0	0	0	0	0	0	0	0
23	24	3	11.7	100	1	0	0.021	0	0	0	0	0	0	0	0	0	0	0	0
24	25	3	11.7	100	1	0	0.021	0	0	0	0	0	0	0	0	0	0	0	0
25	26	3	11.7	100	1	0	0.021	0	0	0	0	0	0	0	0	0	0	0	0
26	27	3	11.7	100	1	0	0.021	0	0	0	0	0	0	0	0	0	0	0	0
27	28	3	11.7	100	1	0	0.021	0	0	0	0	0	0	0	0	0	0	0	0
28	29	3	11.7	100	1	0	0.021	0	0	0	0	0	0	0	0	0	0	0	0
29	30	3	11.7	100	1	0	0.021	0	0	0	0	0	0	0	0	0	0	0	0
30	31	27	27	100	1	1	0.021	48	1.7	0.19	32	8	3	1	0.46	0.25	0.05	0.08	38
31	32	2.4	12	100	1	2	0.021	0	0	0	0	0	0	0	0	0	0	0	0
32	33	2.4	12	100	1	2	0.021	0	0	0	0	0	0	0	0	0	0	0	0
33	34	2.4	12	100	1	2	0.021	0	0	0	0	0	0	0	0	0	0	0	0
34	35	2.4	12	100	1	2	0.021	0	0	0	0	0	0	0	0	0	0	0	0
35	36	2.4	12	100	1	2	0.021	0	0	0	0	0	0	0	0	0	0	0	0
36	37	2.4	12	100	1	2	0.021	0	0	0	0	0	0	0	0	0	0	0	0
37	38	2.4	12	100	1	2	0.021	0	0	0	0	0	0	0	0	0	0	0	0
38	39	2.4	12	100	1	2	0.021	0	0	0	0	0	0	0	0	0	0	0	0
39	40	2.4	12	100	1	2	0.021	0	0	0	0	0	0	0	0	0	0	0	0
40	41	2.4	12	100	1	2	0.021	0	0	0	0	0	0	0	0	0	0	0	0
