807.625000,0
807.625000,1
807.625000,2
807.625000,8
807.625000,9
807.625000,10
807.625000,11
807.625000,16
807.625000,17
807.625000,18
807.625000,19
807.625000,24
807.625000,25
807.625000,26
807.625000,27
807.625000,33
807.750000,3
807.750000,4
807.750000,5
807.750000,12
807.750000,13
807.750000,20
807.750000,21
807.750000,28
807.750000,29
807.750000,32
807.750000,34
807.750000,35
807.750000,36
807.750000,40
807.750000,41
807.750000,42
807.750000,43
807.750000,44
807.750000,50
807.750000,51
807.875000,6
807.875000,7
807.875000,14
807.875000,15
807.875000,22
807.875000,23
807.875000,30
807.875000,31
807.875000,37
807.875000,38
807.875000,45
807.875000,48
807.875000,49
807.875000,52
807.875000,56
807.875000,57
807.875000,58
807.875000,59
807.875000,60
808.000000,39
808.000000,46
808.000000,47
808.000000,53
808.000000,54
808.000000,61
808.125000,55
808.125000,62
808.125000,63
